PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,BACKSTOP,,,,2018,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,BACKSTOP,,,,2019,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,BACKSTOP,,,,2020,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,BACKSTOP,,,,2021,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,BACKSTOP,,,,2022,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,BACKSTOP,,,,2023,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,BACKSTOP,,,,2024,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,BACKSTOP,,,,2025,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,BACKSTOP,,,,2026,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,BACKSTOP,,,,2027,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,BACKSTOP,,,,2028,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,BACKSTOP,,,,2029,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,BACKSTOP,,,,2030,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,BACKSTOP,,,,2031,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,BACKSTOP,,,,2032,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,BACKSTOP,,,,2033,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,BACKSTOP,,,,2034,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,BACKSTOP,,,,2035,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,BACKSTOP,,,,2036,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,BACKSTOP,,,,2037,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,BACKSTOP,,,,2038,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,BACKSTOP,,,,2039,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,BACKSTOP,,,,2040,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,BACKSTOP,,,,2041,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,BACKSTOP,,,,2042,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,BACKSTOP,,,,2043,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,BACKSTOP,,,,2044,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,BACKSTOP,,,,2045,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,BACKSTOP,,,,2046,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,BACKSTOP,,,,2047,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,BACKSTOP,,,,2048,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,BACKSTOP,,,,2049,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,BACKSTOP,,,,2050,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,TRAUTDSL,,,,2018,,,,,,1.1616
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,TRAUTDSL,,,,2019,,,,,,1.2194
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,TRAUTDSL,,,,2020,,,,,,1.2274
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,TRAUTDSL,,,,2021,,,,,,1.2448
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,TRAUTDSL,,,,2022,,,,,,1.2691
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,TRAUTDSL,,,,2023,,,,,,1.2958
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,TRAUTDSL,,,,2024,,,,,,1.2785
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,TRAUTDSL,,,,2025,,,,,,1.3267
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,TRAUTDSL,,,,2026,,,,,,1.3716
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,TRAUTDSL,,,,2027,,,,,,1.4067
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,TRAUTDSL,,,,2028,,,,,,1.4313
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,TRAUTDSL,,,,2029,,,,,,1.4445
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,TRAUTDSL,,,,2030,,,,,,1.4459
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,TRAUTDSL,,,,2031,,,,,,1.4352
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,TRAUTDSL,,,,2032,,,,,,1.41
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,TRAUTDSL,,,,2033,,,,,,1.3713
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,TRAUTDSL,,,,2034,,,,,,1.3205
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,TRAUTDSL,,,,2035,,,,,,1.2593
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,TRAUTDSL,,,,2036,,,,,,1.1896
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,TRAUTDSL,,,,2037,,,,,,1.1134
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,TRAUTDSL,,,,2038,,,,,,1.0321
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,TRAUTDSL,,,,2039,,,,,,0.9477
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,TRAUTDSL,,,,2040,,,,,,0.8627
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,TRAUTDSL,,,,2041,,,,,,0.7774
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,TRAUTDSL,,,,2042,,,,,,0.6921
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,TRAUTDSL,,,,2043,,,,,,0.6069
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,TRAUTDSL,,,,2044,,,,,,0.5217
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,TRAUTDSL,,,,2045,,,,,,0.4364
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,TRAUTDSL,,,,2046,,,,,,0.3508
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,TRAUTDSL,,,,2047,,,,,,0.2646
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,TRAUTDSL,,,,2048,,,,,,0.1775
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,TRAUTDSL,,,,2049,,,,,,0.0894
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,TRAUTDSL,,,,2050,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,TRAUTELE,,,,2018,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,TRAUTELE,,,,2019,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,TRAUTELE,,,,2020,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,TRAUTELE,,,,2021,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,TRAUTELE,,,,2022,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,TRAUTELE,,,,2023,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,TRAUTELE,,,,2024,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,TRAUTELE,,,,2025,,,,,,0.0237
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,TRAUTELE,,,,2026,,,,,,0.0388
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,TRAUTELE,,,,2027,,,,,,0.0636
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,TRAUTELE,,,,2028,,,,,,0.1033
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,TRAUTELE,,,,2029,,,,,,0.1664
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,TRAUTELE,,,,2030,,,,,,0.2659
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,TRAUTELE,,,,2031,,,,,,0.421
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,TRAUTELE,,,,2032,,,,,,0.658
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,TRAUTELE,,,,2033,,,,,,1.0134
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,TRAUTELE,,,,2034,,,,,,1.5331
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,TRAUTELE,,,,2035,,,,,,2.2691
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,TRAUTELE,,,,2036,,,,,,3.2677
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,TRAUTELE,,,,2037,,,,,,4.5505
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,TRAUTELE,,,,2038,,,,,,6.0887
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,TRAUTELE,,,,2039,,,,,,7.7892
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,TRAUTELE,,,,2040,,,,,,9.5235
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,TRAUTELE,,,,2041,,,,,,11.145
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,TRAUTELE,,,,2042,,,,,,12.5458
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,TRAUTELE,,,,2043,,,,,,13.6803
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,TRAUTELE,,,,2044,,,,,,14.5588
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,TRAUTELE,,,,2045,,,,,,15.221
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,TRAUTELE,,,,2046,,,,,,15.7191
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,TRAUTELE,,,,2047,,,,,,16.1013
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,TRAUTELE,,,,2048,,,,,,16.4057
