PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
FixedCost,NDP,GUA,DIST_DSL,,,,2018,,,,,,0.0
FixedCost,NDP,GUA,DIST_DSL,,,,2019,,,,,,0.0
FixedCost,NDP,GUA,DIST_DSL,,,,2020,,,,,,0.0
FixedCost,NDP,GUA,DIST_DSL,,,,2021,,,,,,0.0
FixedCost,NDP,GUA,DIST_DSL,,,,2022,,,,,,0.0
FixedCost,NDP,GUA,DIST_DSL,,,,2023,,,,,,0.0
FixedCost,NDP,GUA,DIST_DSL,,,,2024,,,,,,0.0
FixedCost,NDP,GUA,DIST_DSL,,,,2025,,,,,,0.0
FixedCost,NDP,GUA,DIST_DSL,,,,2026,,,,,,0.0
FixedCost,NDP,GUA,DIST_DSL,,,,2027,,,,,,0.0
FixedCost,NDP,GUA,DIST_DSL,,,,2028,,,,,,0.0
FixedCost,NDP,GUA,DIST_DSL,,,,2029,,,,,,0.0
FixedCost,NDP,GUA,DIST_DSL,,,,2030,,,,,,0.0
FixedCost,NDP,GUA,DIST_DSL,,,,2031,,,,,,0.0
FixedCost,NDP,GUA,DIST_DSL,,,,2032,,,,,,0.0
FixedCost,NDP,GUA,DIST_DSL,,,,2033,,,,,,0.0
FixedCost,NDP,GUA,DIST_DSL,,,,2034,,,,,,0.0
FixedCost,NDP,GUA,DIST_DSL,,,,2035,,,,,,0.0
FixedCost,NDP,GUA,DIST_DSL,,,,2036,,,,,,0.0
FixedCost,NDP,GUA,DIST_DSL,,,,2037,,,,,,0.0
FixedCost,NDP,GUA,DIST_DSL,,,,2038,,,,,,0.0
FixedCost,NDP,GUA,DIST_DSL,,,,2039,,,,,,0.0
FixedCost,NDP,GUA,DIST_DSL,,,,2040,,,,,,0.0
FixedCost,NDP,GUA,DIST_DSL,,,,2041,,,,,,0.0
FixedCost,NDP,GUA,DIST_DSL,,,,2042,,,,,,0.0
FixedCost,NDP,GUA,DIST_DSL,,,,2043,,,,,,0.0
FixedCost,NDP,GUA,DIST_DSL,,,,2044,,,,,,0.0
FixedCost,NDP,GUA,DIST_DSL,,,,2045,,,,,,0.0
FixedCost,NDP,GUA,DIST_DSL,,,,2046,,,,,,0.0
FixedCost,NDP,GUA,DIST_DSL,,,,2047,,,,,,0.0
FixedCost,NDP,GUA,DIST_DSL,,,,2048,,,,,,0.0
FixedCost,NDP,GUA,DIST_DSL,,,,2049,,,,,,0.0
FixedCost,NDP,GUA,DIST_DSL,,,,2050,,,,,,0.0
FixedCost,NDP,GUA,DIST_GSL,,,,2018,,,,,,0.0
FixedCost,NDP,GUA,DIST_GSL,,,,2019,,,,,,0.0
FixedCost,NDP,GUA,DIST_GSL,,,,2020,,,,,,0.0
FixedCost,NDP,GUA,DIST_GSL,,,,2021,,,,,,0.0
FixedCost,NDP,GUA,DIST_GSL,,,,2022,,,,,,0.0
FixedCost,NDP,GUA,DIST_GSL,,,,2023,,,,,,0.0
FixedCost,NDP,GUA,DIST_GSL,,,,2024,,,,,,0.0
FixedCost,NDP,GUA,DIST_GSL,,,,2025,,,,,,0.0
FixedCost,NDP,GUA,DIST_GSL,,,,2026,,,,,,0.0
FixedCost,NDP,GUA,DIST_GSL,,,,2027,,,,,,0.0
FixedCost,NDP,GUA,DIST_GSL,,,,2028,,,,,,0.0
FixedCost,NDP,GUA,DIST_GSL,,,,2029,,,,,,0.0
FixedCost,NDP,GUA,DIST_GSL,,,,2030,,,,,,0.0
FixedCost,NDP,GUA,DIST_GSL,,,,2031,,,,,,0.0
FixedCost,NDP,GUA,DIST_GSL,,,,2032,,,,,,0.0
FixedCost,NDP,GUA,DIST_GSL,,,,2033,,,,,,0.0
FixedCost,NDP,GUA,DIST_GSL,,,,2034,,,,,,0.0
FixedCost,NDP,GUA,DIST_GSL,,,,2035,,,,,,0.0
FixedCost,NDP,GUA,DIST_GSL,,,,2036,,,,,,0.0
FixedCost,NDP,GUA,DIST_GSL,,,,2037,,,,,,0.0
FixedCost,NDP,GUA,DIST_GSL,,,,2038,,,,,,0.0
FixedCost,NDP,GUA,DIST_GSL,,,,2039,,,,,,0.0
FixedCost,NDP,GUA,DIST_GSL,,,,2040,,,,,,0.0
FixedCost,NDP,GUA,DIST_GSL,,,,2041,,,,,,0.0
FixedCost,NDP,GUA,DIST_GSL,,,,2042,,,,,,0.0
FixedCost,NDP,GUA,DIST_GSL,,,,2043,,,,,,0.0
FixedCost,NDP,GUA,DIST_GSL,,,,2044,,,,,,0.0
FixedCost,NDP,GUA,DIST_GSL,,,,2045,,,,,,0.0
FixedCost,NDP,GUA,DIST_GSL,,,,2046,,,,,,0.0
FixedCost,NDP,GUA,DIST_GSL,,,,2047,,,,,,0.0
FixedCost,NDP,GUA,DIST_GSL,,,,2048,,,,,,0.0
FixedCost,NDP,GUA,DIST_GSL,,,,2049,,,,,,0.0
FixedCost,NDP,GUA,DIST_GSL,,,,2050,,,,,,0.0
FixedCost,NDP,GUA,DIST_LPG,,,,2018,,,,,,0.0
FixedCost,NDP,GUA,DIST_LPG,,,,2019,,,,,,0.0
FixedCost,NDP,GUA,DIST_LPG,,,,2020,,,,,,0.0
FixedCost,NDP,GUA,DIST_LPG,,,,2021,,,,,,0.0
FixedCost,NDP,GUA,DIST_LPG,,,,2022,,,,,,0.0
FixedCost,NDP,GUA,DIST_LPG,,,,2023,,,,,,0.0
FixedCost,NDP,GUA,DIST_LPG,,,,2024,,,,,,0.0
FixedCost,NDP,GUA,DIST_LPG,,,,2025,,,,,,0.0
FixedCost,NDP,GUA,DIST_LPG,,,,2026,,,,,,0.0
FixedCost,NDP,GUA,DIST_LPG,,,,2027,,,,,,0.0
FixedCost,NDP,GUA,DIST_LPG,,,,2028,,,,,,0.0
FixedCost,NDP,GUA,DIST_LPG,,,,2029,,,,,,0.0
FixedCost,NDP,GUA,DIST_LPG,,,,2030,,,,,,0.0
FixedCost,NDP,GUA,DIST_LPG,,,,2031,,,,,,0.0
FixedCost,NDP,GUA,DIST_LPG,,,,2032,,,,,,0.0
FixedCost,NDP,GUA,DIST_LPG,,,,2033,,,,,,0.0
FixedCost,NDP,GUA,DIST_LPG,,,,2034,,,,,,0.0
FixedCost,NDP,GUA,DIST_LPG,,,,2035,,,,,,0.0
FixedCost,NDP,GUA,DIST_LPG,,,,2036,,,,,,0.0
FixedCost,NDP,GUA,DIST_LPG,,,,2037,,,,,,0.0
FixedCost,NDP,GUA,DIST_LPG,,,,2038,,,,,,0.0
FixedCost,NDP,GUA,DIST_LPG,,,,2039,,,,,,0.0
FixedCost,NDP,GUA,DIST_LPG,,,,2040,,,,,,0.0
FixedCost,NDP,GUA,DIST_LPG,,,,2041,,,,,,0.0
FixedCost,NDP,GUA,DIST_LPG,,,,2042,,,,,,0.0
FixedCost,NDP,GUA,DIST_LPG,,,,2043,,,,,,0.0
FixedCost,NDP,GUA,DIST_LPG,,,,2044,,,,,,0.0
FixedCost,NDP,GUA,DIST_LPG,,,,2045,,,,,,0.0
FixedCost,NDP,GUA,DIST_LPG,,,,2046,,,,,,0.0
FixedCost,NDP,GUA,DIST_LPG,,,,2047,,,,,,0.0
FixedCost,NDP,GUA,DIST_LPG,,,,2048,,,,,,0.0
FixedCost,NDP,GUA,DIST_LPG,,,,2049,,,,,,0.0
FixedCost,NDP,GUA,DIST_LPG,,,,2050,,,,,,0.0
FixedCost,NDP,GUA,DIST_FOI,,,,2018,,,,,,0.0
FixedCost,NDP,GUA,DIST_FOI,,,,2019,,,,,,0.0
FixedCost,NDP,GUA,DIST_FOI,,,,2020,,,,,,0.0
FixedCost,NDP,GUA,DIST_FOI,,,,2021,,,,,,0.0
FixedCost,NDP,GUA,DIST_FOI,,,,2022,,,,,,0.0
FixedCost,NDP,GUA,DIST_FOI,,,,2023,,,,,,0.0
FixedCost,NDP,GUA,DIST_FOI,,,,2024,,,,,,0.0
FixedCost,NDP,GUA,DIST_FOI,,,,2025,,,,,,0.0
FixedCost,NDP,GUA,DIST_FOI,,,,2026,,,,,,0.0
FixedCost,NDP,GUA,DIST_FOI,,,,2027,,,,,,0.0
FixedCost,NDP,GUA,DIST_FOI,,,,2028,,,,,,0.0
FixedCost,NDP,GUA,DIST_FOI,,,,2029,,,,,,0.0
FixedCost,NDP,GUA,DIST_FOI,,,,2030,,,,,,0.0
FixedCost,NDP,GUA,DIST_FOI,,,,2031,,,,,,0.0
FixedCost,NDP,GUA,DIST_FOI,,,,2032,,,,,,0.0
FixedCost,NDP,GUA,DIST_FOI,,,,2033,,,,,,0.0
FixedCost,NDP,GUA,DIST_FOI,,,,2034,,,,,,0.0
FixedCost,NDP,GUA,DIST_FOI,,,,2035,,,,,,0.0
FixedCost,NDP,GUA,DIST_FOI,,,,2036,,,,,,0.0
FixedCost,NDP,GUA,DIST_FOI,,,,2037,,,,,,0.0
FixedCost,NDP,GUA,DIST_FOI,,,,2038,,,,,,0.0
FixedCost,NDP,GUA,DIST_FOI,,,,2039,,,,,,0.0
FixedCost,NDP,GUA,DIST_FOI,,,,2040,,,,,,0.0
FixedCost,NDP,GUA,DIST_FOI,,,,2041,,,,,,0.0
FixedCost,NDP,GUA,DIST_FOI,,,,2042,,,,,,0.0
FixedCost,NDP,GUA,DIST_FOI,,,,2043,,,,,,0.0
FixedCost,NDP,GUA,DIST_FOI,,,,2044,,,,,,0.0
FixedCost,NDP,GUA,DIST_FOI,,,,2045,,,,,,0.0
FixedCost,NDP,GUA,DIST_FOI,,,,2046,,,,,,0.0
FixedCost,NDP,GUA,DIST_FOI,,,,2047,,,,,,0.0
FixedCost,NDP,GUA,DIST_FOI,,,,2048,,,,,,0.0
FixedCost,NDP,GUA,DIST_FOI,,,,2049,,,,,,0.0
FixedCost,NDP,GUA,DIST_FOI,,,,2050,,,,,,0.0
FixedCost,NDP,GUA,DIST_COK,,,,2018,,,,,,0.0
FixedCost,NDP,GUA,DIST_COK,,,,2019,,,,,,0.0
FixedCost,NDP,GUA,DIST_COK,,,,2020,,,,,,0.0
FixedCost,NDP,GUA,DIST_COK,,,,2021,,,,,,0.0
FixedCost,NDP,GUA,DIST_COK,,,,2022,,,,,,0.0
FixedCost,NDP,GUA,DIST_COK,,,,2023,,,,,,0.0
FixedCost,NDP,GUA,DIST_COK,,,,2024,,,,,,0.0
FixedCost,NDP,GUA,DIST_COK,,,,2025,,,,,,0.0
FixedCost,NDP,GUA,DIST_COK,,,,2026,,,,,,0.0
FixedCost,NDP,GUA,DIST_COK,,,,2027,,,,,,0.0
FixedCost,NDP,GUA,DIST_COK,,,,2028,,,,,,0.0
FixedCost,NDP,GUA,DIST_COK,,,,2029,,,,,,0.0
FixedCost,NDP,GUA,DIST_COK,,,,2030,,,,,,0.0
FixedCost,NDP,GUA,DIST_COK,,,,2031,,,,,,0.0
FixedCost,NDP,GUA,DIST_COK,,,,2032,,,,,,0.0
FixedCost,NDP,GUA,DIST_COK,,,,2033,,,,,,0.0
FixedCost,NDP,GUA,DIST_COK,,,,2034,,,,,,0.0
FixedCost,NDP,GUA,DIST_COK,,,,2035,,,,,,0.0
FixedCost,NDP,GUA,DIST_COK,,,,2036,,,,,,0.0
FixedCost,NDP,GUA,DIST_COK,,,,2037,,,,,,0.0
