PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
CapacityToActivityUnit,NDP,GUA,DIST_DSL,,,,,,,,,,1.0
CapacityToActivityUnit,NDP,GUA,DIST_GSL,,,,,,,,,,1.0
CapacityToActivityUnit,NDP,GUA,DIST_LPG,,,,,,,,,,1.0
CapacityToActivityUnit,NDP,GUA,DIST_FOI,,,,,,,,,,1.0
CapacityToActivityUnit,NDP,GUA,DIST_COK,,,,,,,,,,1.0
CapacityToActivityUnit,NDP,GUA,DIST_KER,,,,,,,,,,1.0
CapacityToActivityUnit,NDP,GUA,DIST_COA,,,,,,,,,,1.0
CapacityToActivityUnit,NDP,GUA,IMP_ELE,,,,,,,,,,1.0
CapacityToActivityUnit,NDP,GUA,EXTT_CRU,,,,,,,,,,1.0
CapacityToActivityUnit,NDP,GUA,EXTT_LPG,,,,,,,,,,1.0
CapacityToActivityUnit,NDP,GUA,PPHDAM,,,,,,,,,,31.356
CapacityToActivityUnit,NDP,GUA,PPHROR,,,,,,,,,,31.356
CapacityToActivityUnit,NDP,GUA,PPGEO,,,,,,,,,,31.356
CapacityToActivityUnit,NDP,GUA,PPWNDON,,,,,,,,,,31.356
CapacityToActivityUnit,NDP,GUA,PPPVT,,,,,,,,,,31.356
CapacityToActivityUnit,NDP,GUA,PPPVT2,,,,,,,,,,31.356
CapacityToActivityUnit,NDP,GUA,PPPVTS,,,,,,,,,,31.356
CapacityToActivityUnit,NDP,GUA,PPPVD,,,,,,,,,,31.356
CapacityToActivityUnit,NDP,GUA,PPPVDS,,,,,,,,,,31.356
CapacityToActivityUnit,NDP,GUA,PPBIM,,,,,,,,,,31.356
CapacityToActivityUnit,NDP,GUA,PPBGS,,,,,,,,,,31.356
CapacityToActivityUnit,NDP,GUA,PPCOA,,,,,,,,,,31.356
CapacityToActivityUnit,NDP,GUA,PPDSL,,,,,,,,,,31.356
CapacityToActivityUnit,NDP,GUA,PPFOI,,,,,,,,,,31.356
CapacityToActivityUnit,NDP,GUA,DIST_FIR,,,,,,,,,,31.356
CapacityToActivityUnit,NDP,GUA,DIST_BIM,,,,,,,,,,31.356
CapacityToActivityUnit,NDP,GUA,DIST_BGS,,,,,,,,,,31.356
CapacityToActivityUnit,NDP,GUA,DIST_NGS,,,,,,,,,,31.356
CapacityToActivityUnit,NDP,GUA,PPNGS,,,,,,,,,,31.356
CapacityToActivityUnit,NDP,GUA,BACKSTOP,,,,,,,,,,1.0
CapacityToActivityUnit,NDP,GUA,DIST_FLEXFUEL,,,,,,,,,,31.356
CapacityToActivityUnit,NDP,GUA,ELE_TRANS,,,,,,,,,,1.0
CapacityToActivityUnit,NDP,GUA,ELE_DIST,,,,,,,,,,1.0
CapacityToActivityUnit,NDP,GUA,HYD_G_PROD,,,,,,,,,,1.0
CapacityToActivityUnit,NDP,GUA,HYD_DIST,,,,,,,,,,1.0
CapacityToActivityUnit,NDP,GUA,T5GSLCOM,,,,,,,,,,1.0
CapacityToActivityUnit,NDP,GUA,T5LPGCOM,,,,,,,,,,1.0
CapacityToActivityUnit,NDP,GUA,T5ELECOM,,,,,,,,,,1.0
CapacityToActivityUnit,NDP,GUA,T5KERCOM,,,,,,,,,,1.0
CapacityToActivityUnit,NDP,GUA,T5FIRCOM,,,,,,,,,,1.0
CapacityToActivityUnit,NDP,GUA,T5BIMCOM,,,,,,,,,,1.0
CapacityToActivityUnit,NDP,GUA,T5DSLIND,,,,,,,,,,1.0
CapacityToActivityUnit,NDP,GUA,T5GSLIND,,,,,,,,,,1.0
CapacityToActivityUnit,NDP,GUA,T5LPGIND,,,,,,,,,,1.0
CapacityToActivityUnit,NDP,GUA,T5ELEIND,,,,,,,,,,1.0
CapacityToActivityUnit,NDP,GUA,T5HYDIND,,,,,,,,,,1.0
CapacityToActivityUnit,NDP,GUA,T5COKIND,,,,,,,,,,1.0
CapacityToActivityUnit,NDP,GUA,T5KERIND,,,,,,,,,,1.0
CapacityToActivityUnit,NDP,GUA,T5BIMIND,,,,,,,,,,1.0
CapacityToActivityUnit,NDP,GUA,T5BGSIND,,,,,,,,,,1.0
