PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
Yearsplit,NDPhigh,,,,,,2018,All,,,,,1
Yearsplit,NDPhigh,,,,,,2019,All,,,,,1
Yearsplit,NDPhigh,,,,,,2020,All,,,,,1
Yearsplit,NDPhigh,,,,,,2021,All,,,,,1
Yearsplit,NDPhigh,,,,,,2022,All,,,,,1
Yearsplit,NDPhigh,,,,,,2023,All,,,,,1
Yearsplit,NDPhigh,,,,,,2024,All,,,,,1
Yearsplit,NDPhigh,,,,,,2025,All,,,,,1
Yearsplit,NDPhigh,,,,,,2026,All,,,,,1
Yearsplit,NDPhigh,,,,,,2027,All,,,,,1
Yearsplit,NDPhigh,,,,,,2028,All,,,,,1
Yearsplit,NDPhigh,,,,,,2029,All,,,,,1
Yearsplit,NDPhigh,,,,,,2030,All,,,,,1
Yearsplit,NDPhigh,,,,,,2031,All,,,,,1
Yearsplit,NDPhigh,,,,,,2032,All,,,,,1
Yearsplit,NDPhigh,,,,,,2033,All,,,,,1
Yearsplit,NDPhigh,,,,,,2034,All,,,,,1
Yearsplit,NDPhigh,,,,,,2035,All,,,,,1
Yearsplit,NDPhigh,,,,,,2036,All,,,,,1
Yearsplit,NDPhigh,,,,,,2037,All,,,,,1
Yearsplit,NDPhigh,,,,,,2038,All,,,,,1
Yearsplit,NDPhigh,,,,,,2039,All,,,,,1
Yearsplit,NDPhigh,,,,,,2040,All,,,,,1
Yearsplit,NDPhigh,,,,,,2041,All,,,,,1
Yearsplit,NDPhigh,,,,,,2042,All,,,,,1
Yearsplit,NDPhigh,,,,,,2043,All,,,,,1
Yearsplit,NDPhigh,,,,,,2044,All,,,,,1
Yearsplit,NDPhigh,,,,,,2045,All,,,,,1
Yearsplit,NDPhigh,,,,,,2046,All,,,,,1
Yearsplit,NDPhigh,,,,,,2047,All,,,,,1
Yearsplit,NDPhigh,,,,,,2048,All,,,,,1
Yearsplit,NDPhigh,,,,,,2049,All,,,,,1
Yearsplit,NDPhigh,,,,,,2050,All,,,,,1
