PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
OperationalLife,NDPhigh,GUA,INORG_RCY_OS,,,,,,,,,,1
OperationalLife,NDPhigh,GUA,AD,,,,,,,,,,1
OperationalLife,NDPhigh,GUA,COMPOST,,,,,,,,,,1
OperationalLife,NDPhigh,GUA,LANDFILL,,,,,,,,,,1
OperationalLife,NDPhigh,GUA,NO_CONTR_OD,,,,,,,,,,1
OperationalLife,NDPhigh,GUA,OPEN_BURN,,,,,,,,,,1
OperationalLife,NDPhigh,GUA,SIT_CLAN,,,,,,,,,,1
OperationalLife,NDPhigh,GUA,LANDFILL_ELEC,,,,,,,,,,1
OperationalLife,NDPhigh,GUA,AERO_PTAR,,,,,,,,,,20
OperationalLife,NDPhigh,GUA,AERO_PTAR_RU,,,,,,,,,,20
OperationalLife,NDPhigh,GUA,ANAE_LAGN,,,,,,,,,,20
OperationalLife,NDPhigh,GUA,ANAE_LAGN_RU,,,,,,,,,,20
OperationalLife,NDPhigh,GUA,SEPT_SYST,,,,,,,,,,20
OperationalLife,NDPhigh,GUA,LATR,,,,,,,,,,20
OperationalLife,NDPhigh,GUA,EFLT_DISC,,,,,,,,,,100
OperationalLife,NDPhigh,GUA,OSS_INORG,,,,,,,,,,1
OperationalLife,NDPhigh,GUA,OSS_ORG,,,,,,,,,,1
OperationalLife,NDPhigh,GUA,NO_OSS_BLEND,,,,,,,,,,1
OperationalLife,NDPhigh,GUA,NO_OSS_NO_COLL,,,,,,,,,,1
OperationalLife,NDPhigh,GUA,INORG_DCOLL,,,,,,,,,,1
OperationalLife,NDPhigh,GUA,ORG_DCOLL,,,,,,,,,,1
OperationalLife,NDPhigh,GUA,BLEND_NO_DCOLL,,,,,,,,,,1
OperationalLife,NDPhigh,GUA,BLEND_NO_COLL,,,,,,,,,,1
OperationalLife,NDPhigh,GUA,INORG_SS,,,,,,,,,,1
OperationalLife,NDPhigh,GUA,ORG_SS,,,,,,,,,,1
OperationalLife,NDPhigh,GUA,NO_SS,,,,,,,,,,1
OperationalLife,NDPhigh,GUA,WWWT,,,,,,,,,,100
OperationalLife,NDPhigh,GUA,WWWOT,,,,,,,,,,100
OperationalLife,NDPhigh,GUA,SEWERWW,,,,,,,,,,100
OperationalLife,NDPhigh,GUA,DIRECT_DISC,,,,,,,,,,100
OperationalLife,NDPhigh,GUA,T5TSWTSW,,,,,,,,,,1
OperationalLife,NDPhigh,GUA,T5TWWTWW,,,,,,,,,,1
