PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
CapacityToActivityUnit,NDPlow,GUA,INORG_RCY_OS,,,,,,,,,,1
CapacityToActivityUnit,NDPlow,GUA,AD,,,,,,,,,,1
CapacityToActivityUnit,NDPlow,GUA,COMPOST,,,,,,,,,,1
CapacityToActivityUnit,NDPlow,GUA,LANDFILL,,,,,,,,,,1
CapacityToActivityUnit,NDPlow,GUA,NO_CONTR_OD,,,,,,,,,,1
CapacityToActivityUnit,NDPlow,GUA,OPEN_BURN,,,,,,,,,,1
CapacityToActivityUnit,NDPlow,GUA,SIT_CLAN,,,,,,,,,,1
CapacityToActivityUnit,NDPlow,GUA,LANDFILL_ELEC,,,,,,,,,,1
CapacityToActivityUnit,NDPlow,GUA,AERO_PTAR,,,,,,,,,,1
CapacityToActivityUnit,NDPlow,GUA,AERO_PTAR_RU,,,,,,,,,,1
CapacityToActivityUnit,NDPlow,GUA,ANAE_LAGN,,,,,,,,,,1
CapacityToActivityUnit,NDPlow,GUA,ANAE_LAGN_RU,,,,,,,,,,1
CapacityToActivityUnit,NDPlow,GUA,SEPT_SYST,,,,,,,,,,1
CapacityToActivityUnit,NDPlow,GUA,LATR,,,,,,,,,,1
CapacityToActivityUnit,NDPlow,GUA,EFLT_DISC,,,,,,,,,,1
CapacityToActivityUnit,NDPlow,GUA,OSS_INORG,,,,,,,,,,1
CapacityToActivityUnit,NDPlow,GUA,OSS_ORG,,,,,,,,,,1
CapacityToActivityUnit,NDPlow,GUA,NO_OSS_BLEND,,,,,,,,,,1
CapacityToActivityUnit,NDPlow,GUA,NO_OSS_NO_COLL,,,,,,,,,,1
CapacityToActivityUnit,NDPlow,GUA,INORG_DCOLL,,,,,,,,,,1
CapacityToActivityUnit,NDPlow,GUA,ORG_DCOLL,,,,,,,,,,1
CapacityToActivityUnit,NDPlow,GUA,BLEND_NO_DCOLL,,,,,,,,,,1
CapacityToActivityUnit,NDPlow,GUA,BLEND_NO_COLL,,,,,,,,,,1
CapacityToActivityUnit,NDPlow,GUA,INORG_SS,,,,,,,,,,1
CapacityToActivityUnit,NDPlow,GUA,ORG_SS,,,,,,,,,,1
CapacityToActivityUnit,NDPlow,GUA,NO_SS,,,,,,,,,,1
CapacityToActivityUnit,NDPlow,GUA,WWWT,,,,,,,,,,1
CapacityToActivityUnit,NDPlow,GUA,WWWOT,,,,,,,,,,1
CapacityToActivityUnit,NDPlow,GUA,SEWERWW,,,,,,,,,,1
CapacityToActivityUnit,NDPlow,GUA,DIRECT_DISC,,,,,,,,,,1
CapacityToActivityUnit,NDPlow,GUA,T5TSWTSW,,,,,,,,,,1
CapacityToActivityUnit,NDPlow,GUA,T5TWWTWW,,,,,,,,,,1
