PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
SpecifiedAnnualDemand,NDPlow,GUA,,E5_TSWTSW,,,2018,,,,,,4.406710560584624
SpecifiedAnnualDemand,NDPlow,GUA,,E5_TSWTSW,,,2019,,,,,,4.587997669413468
SpecifiedAnnualDemand,NDPlow,GUA,,E5_TSWTSW,,,2020,,,,,,4.769284778242311
SpecifiedAnnualDemand,NDPlow,GUA,,E5_TSWTSW,,,2021,,,,,,4.950571887071157
SpecifiedAnnualDemand,NDPlow,GUA,,E5_TSWTSW,,,2022,,,,,,5.131858995900001
SpecifiedAnnualDemand,NDPlow,GUA,,E5_TSWTSW,,,2023,,,,,,5.326869637848
SpecifiedAnnualDemand,NDPlow,GUA,,E5_TSWTSW,,,2024,,,,,,5.52929068408622
SpecifiedAnnualDemand,NDPlow,GUA,,E5_TSWTSW,,,2025,,,,,,5.7394037300815
SpecifiedAnnualDemand,NDPlow,GUA,,E5_TSWTSW,,,2026,,,,,,5.95750107182459
SpecifiedAnnualDemand,NDPlow,GUA,,E5_TSWTSW,,,2027,,,,,,5.859603579370337
SpecifiedAnnualDemand,NDPlow,GUA,,E5_TSWTSW,,,2028,,,,,,5.760042704771238
SpecifiedAnnualDemand,NDPlow,GUA,,E5_TSWTSW,,,2029,,,,,,5.658730677523242
SpecifiedAnnualDemand,NDPlow,GUA,,E5_TSWTSW,,,2030,,,,,,5.555571726818329
SpecifiedAnnualDemand,NDPlow,GUA,,E5_TSWTSW,,,2031,,,,,,5.726295266736544
SpecifiedAnnualDemand,NDPlow,GUA,,E5_TSWTSW,,,2032,,,,,,5.898732485454161
SpecifiedAnnualDemand,NDPlow,GUA,,E5_TSWTSW,,,2033,,,,,,6.07286652003754
SpecifiedAnnualDemand,NDPlow,GUA,,E5_TSWTSW,,,2034,,,,,,6.248680995748829
SpecifiedAnnualDemand,NDPlow,GUA,,E5_TSWTSW,,,2035,,,,,,6.426160002935887
SpecifiedAnnualDemand,NDPlow,GUA,,E5_TSWTSW,,,2036,,,,,,6.605288075425302
SpecifiedAnnualDemand,NDPlow,GUA,,E5_TSWTSW,,,2037,,,,,,6.786050170295145
SpecifiedAnnualDemand,NDPlow,GUA,,E5_TSWTSW,,,2038,,,,,,6.968431648916145
SpecifiedAnnualDemand,NDPlow,GUA,,E5_TSWTSW,,,2039,,,,,,7.152418259160897
SpecifiedAnnualDemand,NDPlow,GUA,,E5_TSWTSW,,,2040,,,,,,7.337996118690115
SpecifiedAnnualDemand,NDPlow,GUA,,E5_TSWTSW,,,2041,,,,,,7.525151699233555
SpecifiedAnnualDemand,NDPlow,GUA,,E5_TSWTSW,,,2042,,,,,,7.713871811790769
SpecifiedAnnualDemand,NDPlow,GUA,,E5_TSWTSW,,,2043,,,,,,7.904143592683618
SpecifiedAnnualDemand,NDPlow,GUA,,E5_TSWTSW,,,2044,,,,,,8.09595449039855
SpecifiedAnnualDemand,NDPlow,GUA,,E5_TSWTSW,,,2045,,,,,,8.289292253162017
SpecifiedAnnualDemand,NDPlow,GUA,,E5_TSWTSW,,,2046,,,,,,8.484144917197414
SpecifiedAnnualDemand,NDPlow,GUA,,E5_TSWTSW,,,2047,,,,,,8.680500795616124
SpecifiedAnnualDemand,NDPlow,GUA,,E5_TSWTSW,,,2048,,,,,,8.878348467899379
SpecifiedAnnualDemand,NDPlow,GUA,,E5_TSWTSW,,,2049,,,,,,9.077676769931127
SpecifiedAnnualDemand,NDPlow,GUA,,E5_TSWTSW,,,2050,,,,,,9.27847478454532
SpecifiedAnnualDemand,NDPlow,GUA,,E5_TWWTWW,,,2018,,,,,,1.7654706
SpecifiedAnnualDemand,NDPlow,GUA,,E5_TWWTWW,,,2019,,,,,,1.8325584827999992
SpecifiedAnnualDemand,NDPlow,GUA,,E5_TWWTWW,,,2020,,,,,,1.9021957051463996
SpecifiedAnnualDemand,NDPlow,GUA,,E5_TWWTWW,,,2021,,,,,,1.9744791419419612
SpecifiedAnnualDemand,NDPlow,GUA,,E5_TWWTWW,,,2022,,,,,,2.0495093493357563
SpecifiedAnnualDemand,NDPlow,GUA,,E5_TWWTWW,,,2023,,,,,,2.1273907046105127
SpecifiedAnnualDemand,NDPlow,GUA,,E5_TWWTWW,,,2024,,,,,,2.208231551385712
SpecifiedAnnualDemand,NDPlow,GUA,,E5_TWWTWW,,,2025,,,,,,2.2921443503383716
SpecifiedAnnualDemand,NDPlow,GUA,,E5_TWWTWW,,,2026,,,,,,2.3792458356512314
SpecifiedAnnualDemand,NDPlow,GUA,,E5_TWWTWW,,,2027,,,,,,2.4482090021701675
SpecifiedAnnualDemand,NDPlow,GUA,,E5_TWWTWW,,,2028,,,,,,2.5206192929283553
SpecifiedAnnualDemand,NDPlow,GUA,,E5_TWWTWW,,,2029,,,,,,2.5966622905827412
SpecifiedAnnualDemand,NDPlow,GUA,,E5_TWWTWW,,,2030,,,,,,2.676535403600077
SpecifiedAnnualDemand,NDPlow,GUA,,E5_TWWTWW,,,2031,,,,,,2.760448676129145
SpecifiedAnnualDemand,NDPlow,GUA,,E5_TWWTWW,,,2032,,,,,,2.8486256587197376
SpecifiedAnnualDemand,NDPlow,GUA,,E5_TWWTWW,,,2033,,,,,,2.9413043447424245
SpecifiedAnnualDemand,NDPlow,GUA,,E5_TWWTWW,,,2034,,,,,,3.0387381777758815
SpecifiedAnnualDemand,NDPlow,GUA,,E5_TWWTWW,,,2035,,,,,,3.141197135678214
SpecifiedAnnualDemand,NDPlow,GUA,,E5_TWWTWW,,,2036,,,,,,3.2489688975486604
SpecifiedAnnualDemand,NDPlow,GUA,,E5_TWWTWW,,,2037,,,,,,3.3623601003202275
SpecifiedAnnualDemand,NDPlow,GUA,,E5_TWWTWW,,,2038,,,,,,3.481697692306254
SpecifiedAnnualDemand,NDPlow,GUA,,E5_TWWTWW,,,2039,,,,,,3.6073303916592936
SpecifiedAnnualDemand,NDPlow,GUA,,E5_TWWTWW,,,2040,,,,,,3.7396302583940364
SpecifiedAnnualDemand,NDPlow,GUA,,E5_TWWTWW,,,2041,,,,,,3.8789943893828442
SpecifiedAnnualDemand,NDPlow,GUA,,E5_TWWTWW,,,2042,,,,,,4.025846746558879
SpecifiedAnnualDemand,NDPlow,GUA,,E5_TWWTWW,,,2043,,,,,,4.180640129464577
SpecifiedAnnualDemand,NDPlow,GUA,,E5_TWWTWW,,,2044,,,,,,4.3438583042696
SpecifiedAnnualDemand,NDPlow,GUA,,E5_TWWTWW,,,2045,,,,,,4.516018302460626
