PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,INORG_RCY_OS,,,,2018,,,,,,0.1338709105180336
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,INORG_RCY_OS,,,,2019,,,,,,0.1441522808285727
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,INORG_RCY_OS,,,,2020,,,,,,0.1544336511391118
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,INORG_RCY_OS,,,,2021,,,,,,0.1647150214496509
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,INORG_RCY_OS,,,,2022,,,,,,0.17499639176019
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,INORG_RCY_OS,,,,2023,,,,,,0.1816462546506168
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,INORG_RCY_OS,,,,2024,,,,,,0.1885488123273401
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,INORG_RCY_OS,,,,2025,,,,,,0.1957136671957791
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,INORG_RCY_OS,,,,2026,,,,,,0.2031507865492185
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,INORG_RCY_OS,,,,2027,,,,,,0.3636192698647288
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,INORG_RCY_OS,,,,2028,,,,,,0.5129248694950519
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,INORG_RCY_OS,,,,2029,,,,,,0.6510675854401875
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,INORG_RCY_OS,,,,2030,,,,,,0.7780474177001359
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,INORG_RCY_OS,,,,2031,,,,,,0.8255784906543835
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,INORG_RCY_OS,,,,2032,,,,,,0.8743718079352653
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,INORG_RCY_OS,,,,2033,,,,,,0.9244273695427808
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,INORG_RCY_OS,,,,2034,,,,,,0.9757451754769304
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,INORG_RCY_OS,,,,2035,,,,,,1.0283252257377142
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,INORG_RCY_OS,,,,2036,,,,,,1.082167520325132
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,INORG_RCY_OS,,,,2037,,,,,,1.1372720592391838
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,INORG_RCY_OS,,,,2038,,,,,,1.1936388424798694
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,INORG_RCY_OS,,,,2039,,,,,,1.251267870047189
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,INORG_RCY_OS,,,,2040,,,,,,1.3101591419411431
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,INORG_RCY_OS,,,,2041,,,,,,1.3703126581617309
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,INORG_RCY_OS,,,,2042,,,,,,1.431728418708953
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,INORG_RCY_OS,,,,2043,,,,,,1.4944064235828085
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,INORG_RCY_OS,,,,2044,,,,,,1.5583466727832986
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,INORG_RCY_OS,,,,2045,,,,,,1.6235491663104225
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,INORG_RCY_OS,,,,2046,,,,,,1.6900139041641804
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,INORG_RCY_OS,,,,2047,,,,,,1.7577408863445725
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,INORG_RCY_OS,,,,2048,,,,,,1.8267301128515976
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,INORG_RCY_OS,,,,2049,,,,,,1.8969815836852584
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,INORG_RCY_OS,,,,2050,,,,,,1.968495298845552
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,AD,,,,2018,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,AD,,,,2019,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,AD,,,,2020,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,AD,,,,2021,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,AD,,,,2022,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,AD,,,,2023,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,AD,,,,2024,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,AD,,,,2025,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,AD,,,,2026,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,AD,,,,2027,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,AD,,,,2028,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,AD,,,,2029,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,AD,,,,2030,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,AD,,,,2031,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,AD,,,,2032,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,AD,,,,2033,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,AD,,,,2034,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,AD,,,,2035,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,AD,,,,2036,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,AD,,,,2037,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,AD,,,,2038,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,AD,,,,2039,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,AD,,,,2040,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDP,GUA,AD,,,,2041,,,,,,0.0
