PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
SpecifiedAnnualDemand,NDPhigh,GUA,,E5_TSWTSW,,,2018,,,,,,4.406710560584624
SpecifiedAnnualDemand,NDPhigh,GUA,,E5_TSWTSW,,,2019,,,,,,4.587997669413468
SpecifiedAnnualDemand,NDPhigh,GUA,,E5_TSWTSW,,,2020,,,,,,4.769284778242311
SpecifiedAnnualDemand,NDPhigh,GUA,,E5_TSWTSW,,,2021,,,,,,4.950571887071157
SpecifiedAnnualDemand,NDPhigh,GUA,,E5_TSWTSW,,,2022,,,,,,5.131858995900001
SpecifiedAnnualDemand,NDPhigh,GUA,,E5_TSWTSW,,,2023,,,,,,5.326869637848
SpecifiedAnnualDemand,NDPhigh,GUA,,E5_TSWTSW,,,2024,,,,,,5.52929068408622
SpecifiedAnnualDemand,NDPhigh,GUA,,E5_TSWTSW,,,2025,,,,,,5.7394037300815
SpecifiedAnnualDemand,NDPhigh,GUA,,E5_TSWTSW,,,2026,,,,,,5.95750107182459
SpecifiedAnnualDemand,NDPhigh,GUA,,E5_TSWTSW,,,2027,,,,,,5.673153750885771
SpecifiedAnnualDemand,NDPhigh,GUA,,E5_TSWTSW,,,2028,,,,,,5.393479008158923
SpecifiedAnnualDemand,NDPhigh,GUA,,E5_TSWTSW,,,2029,,,,,,5.118556235699687
SpecifiedAnnualDemand,NDPhigh,GUA,,E5_TSWTSW,,,2030,,,,,,4.848469014787909
SpecifiedAnnualDemand,NDPhigh,GUA,,E5_TSWTSW,,,2031,,,,,,4.897136694500778
SpecifiedAnnualDemand,NDPhigh,GUA,,E5_TSWTSW,,,2032,,,,,,4.945325474752726
SpecifiedAnnualDemand,NDPhigh,GUA,,E5_TSWTSW,,,2033,,,,,,4.9930492200766485
SpecifiedAnnualDemand,NDPhigh,GUA,,E5_TSWTSW,,,2034,,,,,,5.04032113868999
SpecifiedAnnualDemand,NDPhigh,GUA,,E5_TSWTSW,,,2035,,,,,,5.087153825182323
SpecifiedAnnualDemand,NDPhigh,GUA,,E5_TSWTSW,,,2036,,,,,,5.133559299698329
SpecifiedAnnualDemand,NDPhigh,GUA,,E5_TSWTSW,,,2037,,,,,,5.17954904396154
SpecifiedAnnualDemand,NDPhigh,GUA,,E5_TSWTSW,,,2038,,,,,,5.225134034444688
SpecifiedAnnualDemand,NDPhigh,GUA,,E5_TSWTSW,,,2039,,,,,,5.270324772958129
SpecifiedAnnualDemand,NDPhigh,GUA,,E5_TSWTSW,,,2040,,,,,,5.315131314897789
SpecifiedAnnualDemand,NDPhigh,GUA,,E5_TSWTSW,,,2041,,,,,,5.359563295367854
SpecifiedAnnualDemand,NDPhigh,GUA,,E5_TSWTSW,,,2042,,,,,,5.403629953370427
SpecifiedAnnualDemand,NDPhigh,GUA,,E5_TSWTSW,,,2043,,,,,,5.44734015423413
SpecifiedAnnualDemand,NDPhigh,GUA,,E5_TSWTSW,,,2044,,,,,,5.490702410435886
SpecifiedAnnualDemand,NDPhigh,GUA,,E5_TSWTSW,,,2045,,,,,,5.533724900954337
SpecifiedAnnualDemand,NDPhigh,GUA,,E5_TSWTSW,,,2046,,,,,,5.576415489279542
SpecifiedAnnualDemand,NDPhigh,GUA,,E5_TSWTSW,,,2047,,,,,,5.618781740191219
SpecifiedAnnualDemand,NDPhigh,GUA,,E5_TSWTSW,,,2048,,,,,,5.660830935406925
SpecifiedAnnualDemand,NDPhigh,GUA,,E5_TSWTSW,,,2049,,,,,,5.702570088191827
SpecifiedAnnualDemand,NDPhigh,GUA,,E5_TSWTSW,,,2050,,,,,,5.744005957013049
SpecifiedAnnualDemand,NDPhigh,GUA,,E5_TWWTWW,,,2018,,,,,,1.7654706
SpecifiedAnnualDemand,NDPhigh,GUA,,E5_TWWTWW,,,2019,,,,,,1.8325584827999992
SpecifiedAnnualDemand,NDPhigh,GUA,,E5_TWWTWW,,,2020,,,,,,1.9021957051463996
SpecifiedAnnualDemand,NDPhigh,GUA,,E5_TWWTWW,,,2021,,,,,,1.9744791419419612
SpecifiedAnnualDemand,NDPhigh,GUA,,E5_TWWTWW,,,2022,,,,,,2.0495093493357563
SpecifiedAnnualDemand,NDPhigh,GUA,,E5_TWWTWW,,,2023,,,,,,2.1273907046105127
SpecifiedAnnualDemand,NDPhigh,GUA,,E5_TWWTWW,,,2024,,,,,,2.208231551385712
SpecifiedAnnualDemand,NDPhigh,GUA,,E5_TWWTWW,,,2025,,,,,,2.2921443503383716
SpecifiedAnnualDemand,NDPhigh,GUA,,E5_TWWTWW,,,2026,,,,,,2.3792458356512314
SpecifiedAnnualDemand,NDPhigh,GUA,,E5_TWWTWW,,,2027,,,,,,2.4453941790469456
SpecifiedAnnualDemand,NDPhigh,GUA,,E5_TWWTWW,,,2028,,,,,,2.5119350532520937
SpecifiedAnnualDemand,NDPhigh,GUA,,E5_TWWTWW,,,2029,,,,,,2.578800648742263
SpecifiedAnnualDemand,NDPhigh,GUA,,E5_TWWTWW,,,2030,,,,,,2.6459206944831406
SpecifiedAnnualDemand,NDPhigh,GUA,,E5_TWWTWW,,,2031,,,,,,2.7132225557666696
SpecifiedAnnualDemand,NDPhigh,GUA,,E5_TWWTWW,,,2032,,,,,,2.780631341758262
SpecifiedAnnualDemand,NDPhigh,GUA,,E5_TWWTWW,,,2033,,,,,,2.8480700226433684
SpecifiedAnnualDemand,NDPhigh,GUA,,E5_TWWTWW,,,2034,,,,,,2.9154595562188033
SpecifiedAnnualDemand,NDPhigh,GUA,,E5_TWWTWW,,,2035,,,,,,2.9827190237309633
SpecifiedAnnualDemand,NDPhigh,GUA,,E5_TWWTWW,,,2036,,,,,,3.0497657747194755
SpecifiedAnnualDemand,NDPhigh,GUA,,E5_TWWTWW,,,2037,,,,,,3.1165155805812623
SpecifiedAnnualDemand,NDPhigh,GUA,,E5_TWWTWW,,,2038,,,,,,3.182882796526648
SpecifiedAnnualDemand,NDPhigh,GUA,,E5_TWWTWW,,,2039,,,,,,3.248780531556215
SpecifiedAnnualDemand,NDPhigh,GUA,,E5_TWWTWW,,,2040,,,,,,3.314120826044912
SpecifiedAnnualDemand,NDPhigh,GUA,,E5_TWWTWW,,,2041,,,,,,3.3788148364786252
SpecifiedAnnualDemand,NDPhigh,GUA,,E5_TWWTWW,,,2042,,,,,,3.442773026848319
SpecifiedAnnualDemand,NDPhigh,GUA,,E5_TWWTWW,,,2043,,,,,,3.5059053661681574
SpecifiedAnnualDemand,NDPhigh,GUA,,E5_TWWTWW,,,2044,,,,,,3.5681215315469865
SpecifiedAnnualDemand,NDPhigh,GUA,,E5_TWWTWW,,,2045,,,,,,3.629331116207401
SpecifiedAnnualDemand,NDPhigh,GUA,,E5_TWWTWW,,,2046,,,,,,3.689443841813606
SpecifiedAnnualDemand,NDPhigh,GUA,,E5_TWWTWW,,,2047,,,,,,3.74836977443858
SpecifiedAnnualDemand,NDPhigh,GUA,,E5_TWWTWW,,,2048,,,,,,3.806019543472909
SpecifiedAnnualDemand,NDPhigh,GUA,,E5_TWWTWW,,,2049,,,,,,3.862304562752293
SpecifiedAnnualDemand,NDPhigh,GUA,,E5_TWWTWW,,,2050,,,,,,3.9171372531582502
