PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalTechnologyAnnualActivityLowerLimit,NDPlow,GUA,INORG_RCY_OS,,,,2018,,,,,,0.1338709105180336
TotalTechnologyAnnualActivityLowerLimit,NDPlow,GUA,INORG_RCY_OS,,,,2019,,,,,,0.1441522808285727
TotalTechnologyAnnualActivityLowerLimit,NDPlow,GUA,INORG_RCY_OS,,,,2020,,,,,,0.1544336511391118
TotalTechnologyAnnualActivityLowerLimit,NDPlow,GUA,INORG_RCY_OS,,,,2021,,,,,,0.1647150214496509
TotalTechnologyAnnualActivityLowerLimit,NDPlow,GUA,INORG_RCY_OS,,,,2022,,,,,,0.17499639176019
TotalTechnologyAnnualActivityLowerLimit,NDPlow,GUA,INORG_RCY_OS,,,,2023,,,,,,0.1816462546506168
TotalTechnologyAnnualActivityLowerLimit,NDPlow,GUA,INORG_RCY_OS,,,,2024,,,,,,0.1885488123273401
TotalTechnologyAnnualActivityLowerLimit,NDPlow,GUA,INORG_RCY_OS,,,,2025,,,,,,0.1957136671957791
TotalTechnologyAnnualActivityLowerLimit,NDPlow,GUA,INORG_RCY_OS,,,,2026,,,,,,0.2031507865492185
TotalTechnologyAnnualActivityLowerLimit,NDPlow,GUA,INORG_RCY_OS,,,,2027,,,,,,0.2847034889126563
TotalTechnologyAnnualActivityLowerLimit,NDPlow,GUA,INORG_RCY_OS,,,,2028,,,,,,0.363314693603446
TotalTechnologyAnnualActivityLowerLimit,NDPlow,GUA,INORG_RCY_OS,,,,2029,,,,,,0.4389052981753966
TotalTechnologyAnnualActivityLowerLimit,NDPlow,GUA,INORG_RCY_OS,,,,2030,,,,,,0.5113903774536273
TotalTechnologyAnnualActivityLowerLimit,NDPlow,GUA,INORG_RCY_OS,,,,2031,,,,,,0.5442843651033087
TotalTechnologyAnnualActivityLowerLimit,NDPlow,GUA,INORG_RCY_OS,,,,2032,,,,,,0.5783707201987807
TotalTechnologyAnnualActivityLowerLimit,NDPlow,GUA,INORG_RCY_OS,,,,2033,,,,,,0.6136631618497934
TotalTechnologyAnnualActivityLowerLimit,NDPlow,GUA,INORG_RCY_OS,,,,2034,,,,,,0.6501752576076658
TotalTechnologyAnnualActivityLowerLimit,NDPlow,GUA,INORG_RCY_OS,,,,2035,,,,,,0.6879204283142868
TotalTechnologyAnnualActivityLowerLimit,NDPlow,GUA,INORG_RCY_OS,,,,2036,,,,,,0.7269119527005546
TotalTechnologyAnnualActivityLowerLimit,NDPlow,GUA,INORG_RCY_OS,,,,2037,,,,,,0.7671629717518663
TotalTechnologyAnnualActivityLowerLimit,NDPlow,GUA,INORG_RCY_OS,,,,2038,,,,,,0.8086864928567187
TotalTechnologyAnnualActivityLowerLimit,NDPlow,GUA,INORG_RCY_OS,,,,2039,,,,,,0.8514953937531049
TotalTechnologyAnnualActivityLowerLimit,NDPlow,GUA,INORG_RCY_OS,,,,2040,,,,,,0.8956024262861287
TotalTechnologyAnnualActivityLowerLimit,NDPlow,GUA,INORG_RCY_OS,,,,2041,,,,,,0.9410202199891562
TotalTechnologyAnnualActivityLowerLimit,NDPlow,GUA,INORG_RCY_OS,,,,2042,,,,,,0.987761285499808
TotalTechnologyAnnualActivityLowerLimit,NDPlow,GUA,INORG_RCY_OS,,,,2043,,,,,,1.0358380178211883
TotalTechnologyAnnualActivityLowerLimit,NDPlow,GUA,INORG_RCY_OS,,,,2044,,,,,,1.0852626994379255
TotalTechnologyAnnualActivityLowerLimit,NDPlow,GUA,INORG_RCY_OS,,,,2045,,,,,,1.1360475032958548
TotalTechnologyAnnualActivityLowerLimit,NDPlow,GUA,INORG_RCY_OS,,,,2046,,,,,,1.188204495653498
TotalTechnologyAnnualActivityLowerLimit,NDPlow,GUA,INORG_RCY_OS,,,,2047,,,,,,1.241745638812887
TotalTechnologyAnnualActivityLowerLimit,NDPlow,GUA,INORG_RCY_OS,,,,2048,,,,,,1.2966827937367045
TotalTechnologyAnnualActivityLowerLimit,NDPlow,GUA,INORG_RCY_OS,,,,2049,,,,,,1.3530277225582346
TotalTechnologyAnnualActivityLowerLimit,NDPlow,GUA,INORG_RCY_OS,,,,2050,,,,,,1.410792090990116
TotalTechnologyAnnualActivityLowerLimit,NDPlow,GUA,AD,,,,2018,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDPlow,GUA,AD,,,,2019,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDPlow,GUA,AD,,,,2020,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDPlow,GUA,AD,,,,2021,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDPlow,GUA,AD,,,,2022,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDPlow,GUA,AD,,,,2023,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDPlow,GUA,AD,,,,2024,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDPlow,GUA,AD,,,,2025,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDPlow,GUA,AD,,,,2026,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDPlow,GUA,AD,,,,2027,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDPlow,GUA,AD,,,,2028,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDPlow,GUA,AD,,,,2029,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDPlow,GUA,AD,,,,2030,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDPlow,GUA,AD,,,,2031,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDPlow,GUA,AD,,,,2032,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,NDPlow,GUA,AD,,,,2033,,,,,,0.0
