PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
Yearsplit,NDPlow,,,,,,2018,All,,,,,1
Yearsplit,NDPlow,,,,,,2019,All,,,,,1
Yearsplit,NDPlow,,,,,,2020,All,,,,,1
Yearsplit,NDPlow,,,,,,2021,All,,,,,1
Yearsplit,NDPlow,,,,,,2022,All,,,,,1
Yearsplit,NDPlow,,,,,,2023,All,,,,,1
Yearsplit,NDPlow,,,,,,2024,All,,,,,1
Yearsplit,NDPlow,,,,,,2025,All,,,,,1
Yearsplit,NDPlow,,,,,,2026,All,,,,,1
Yearsplit,NDPlow,,,,,,2027,All,,,,,1
Yearsplit,NDPlow,,,,,,2028,All,,,,,1
Yearsplit,NDPlow,,,,,,2029,All,,,,,1
Yearsplit,NDPlow,,,,,,2030,All,,,,,1
Yearsplit,NDPlow,,,,,,2031,All,,,,,1
Yearsplit,NDPlow,,,,,,2032,All,,,,,1
Yearsplit,NDPlow,,,,,,2033,All,,,,,1
Yearsplit,NDPlow,,,,,,2034,All,,,,,1
Yearsplit,NDPlow,,,,,,2035,All,,,,,1
Yearsplit,NDPlow,,,,,,2036,All,,,,,1
Yearsplit,NDPlow,,,,,,2037,All,,,,,1
Yearsplit,NDPlow,,,,,,2038,All,,,,,1
Yearsplit,NDPlow,,,,,,2039,All,,,,,1
Yearsplit,NDPlow,,,,,,2040,All,,,,,1
Yearsplit,NDPlow,,,,,,2041,All,,,,,1
Yearsplit,NDPlow,,,,,,2042,All,,,,,1
Yearsplit,NDPlow,,,,,,2043,All,,,,,1
Yearsplit,NDPlow,,,,,,2044,All,,,,,1
Yearsplit,NDPlow,,,,,,2045,All,,,,,1
Yearsplit,NDPlow,,,,,,2046,All,,,,,1
Yearsplit,NDPlow,,,,,,2047,All,,,,,1
Yearsplit,NDPlow,,,,,,2048,All,,,,,1
Yearsplit,NDPlow,,,,,,2049,All,,,,,1
Yearsplit,NDPlow,,,,,,2050,All,,,,,1
