Strategy,Future.ID,Fuel,Technology,Emission,Year,Demand,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,TotalTechnologyAnnualActivity,ProductionByTechnology,UseByTechnology,CapitalInvestment,DiscountedCapitalInvestment,SalvageValue,DiscountedSalvageValue,OperatingCost,DiscountedOperatingCost,AnnualVariableOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,TotalDiscountedCost,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,AnnualTechnologyEmissionsPenalty,DiscountedTechnologyEmissionsPenalty,AnnualEmissions,Capex2025,FixedOpex2025,VarOpex2025,Opex2025,Externalities2025,Capex_GDP,FixedOpex_GDP,VarOpex_GDP,Opex_GDP,Externalities_GDP
NDP,0,,INORG_RCY_OS,,2018,,0.133871,0.133871,0.133871,0.133871,,,4.91976,4.91976,,,8.43387,8.11549,8.43387,,5.82148,,,,-7.49677,-7.21377,,8.4316,,14.4542,14.4542,,8.054871844906728e-05,,0.0001380834471734465,0.0001380834471734465,
NDP,0,,INORG_RCY_OS,,2019,,0.144152,0.144152,0.144152,0.144152,,,5.2976,4.90518,,,9.08159,8.09145,9.08159,,5.80423,,,,-8.07253,-7.1924,,8.4066,,14.4113,14.4113,,8.478484833220907e-05,,0.0001453452942399023,0.0001453452942399023,
NDP,0,,INORG_RCY_OS,,2020,,0.154434,0.154434,0.154434,0.154434,,,5.67544,4.86577,,,9.72932,8.02644,9.72932,,5.7576,,,,-8.64828,-7.13462,,8.3391,,14.2956,14.2956,,9.471527264841131e-05,,0.0001623689434622939,0.0001623689434622939,
NDP,0,,INORG_RCY_OS,,2021,,0.164715,0.164715,0.164715,0.164715,,,6.05328,4.80529,,,10.377,7.92667,10.377,,5.68603,,,,-9.22404,-7.04593,,8.2354,,14.1178,14.1178,,9.72289716765076e-05,,0.0001666774111039171,0.0001666774111039171,
NDP,0,,INORG_RCY_OS,,2022,,0.174996,0.174996,0.174996,0.174996,,,6.43112,4.72706,,,11.0248,7.79763,11.0248,,5.59347,,,,-9.7998,-6.93123,,8.1014,,13.8881,13.8881,,9.961225837039311e-05,,0.0001707642255286653,0.0001707642255286653,
NDP,0,,INORG_RCY_OS,,2023,,0.181646,0.181646,0.181646,0.181646,,,6.6755,4.54323,,,11.4437,7.49439,11.4437,,5.37594,,,,-10.1722,-6.66168,,7.7863,,13.3479,13.3479,,0.000100385907316867,,0.00017208991200090342,0.00017208991200090342,
NDP,0,,INORG_RCY_OS,,2024,,0.188549,0.188549,0.188549,0.188549,,,6.92917,4.36655,,,11.8786,7.20294,11.8786,,5.16688,,,,-10.5587,-6.40262,,7.4835,,12.8289,12.8289,,0.0001011656182843386,,0.00017342710791513912,0.00017342710791513912,
NDP,0,,INORG_RCY_OS,,2025,,0.195714,0.195714,0.195714,0.195714,,,7.19248,4.19674,,,12.33,6.92283,12.33,,4.96594,,,,-10.96,-6.15362,,7.1925,,12.33,12.33,,0.00010195139248843188,,0.00017477430168486602,0.00017477430168486602,
NDP,0,,INORG_RCY_OS,,2026,,0.203151,0.203151,0.203151,0.203151,,,7.46579,4.03353,,,12.7985,6.65361,12.7985,,4.77282,,,,-11.3764,-5.91432,,6.9128,,11.8505,11.8505,,0.00010274318961376515,,0.00017613122151463855,0.00017613122151463855,
NDP,0,,INORG_RCY_OS,,2027,,0.363619,0.363619,0.363619,0.363619,,,13.363,6.68483,,,22.908,11.0271,22.908,,7.91007,,,,-20.3627,-9.80188,,11.4566,,19.6399,19.6399,,0.00017854348928937096,,0.0003060745530674931,0.0003060745530674931,
NDP,0,,INORG_RCY_OS,,2028,,0.512925,0.512925,0.512925,0.512925,,,18.85,8.73119,,,32.3143,14.4027,32.3143,,10.3315,,,,-28.7238,-12.8024,,14.9637,,25.6521,25.6521,,0.0002445198830493881,,0.0004191771276829094,0.0004191771276829094,
NDP,0,,INORG_RCY_OS,,2029,,0.651068,0.651068,0.651068,0.651068,,,23.9267,10.2618,,,41.0173,16.9275,41.0173,,12.1426,,,,-36.4598,-15.0467,,17.5868,,30.1489,30.1489,,0.00030133418586993863,,0.0005165741494682942,0.0005165741494682942,
NDP,0,,INORG_RCY_OS,,2030,,0.778047,0.778047,0.778047,0.778047,,,28.5932,11.3548,,,49.017,18.7305,49.017,,13.4359,,,,-43.5707,-16.6493,,19.4601,,33.3601,33.3601,,0.0003496158694151011,,0.0005993425384748826,0.0005993425384748826,
NDP,0,,INORG_RCY_OS,,2031,,0.825578,0.825578,0.825578,0.825578,,,30.34,11.156,,,52.0114,18.4026,52.0114,,13.2007,,,,-46.2324,-16.3578,,19.1193,,32.776,32.776,,0.00036016932935151554,,0.0006174327968567375,0.0006174327968567375,
NDP,0,,INORG_RCY_OS,,2032,,0.874372,0.874372,0.874372,0.874372,,,32.1332,10.9401,,,55.0854,18.0465,55.0854,,12.9453,,,,-48.9648,-16.0413,,18.7494,,32.1418,32.1418,,0.00037034620878964364,,0.0006348782271812653,0.0006348782271812653,
NDP,0,,INORG_RCY_OS,,2033,,0.924427,0.924427,0.924427,0.924427,,,33.9727,10.7096,,,58.2389,17.6663,58.2389,,12.6725,,,,-51.7679,-15.7034,,18.3544,,31.4647,31.4647,,0.00038014279660874976,,0.0006516732057627834,0.0006516732057627834,
NDP,0,,INORG_RCY_OS,,2034,,0.975745,0.975745,0.975745,0.975745,,,35.8586,10.4668,,,61.4719,17.2657,61.4719,,12.3852,,,,-54.6417,-15.3473,,17.9382,,30.7513,30.7513,,0.00038955860893772796,,0.0006678149133752884,0.0006678149133752884,
NDP,0,,INORG_RCY_OS,,2035,,1.02833,1.02833,1.02833,1.02833,,,37.791,10.2137,,,64.7845,16.8483,64.7845,,12.0858,,,,-57.5862,-14.9762,,17.5045,,30.0078,30.0078,,0.000398593888930347,,0.000683303056214656,0.000683303056214656,
NDP,0,,INORG_RCY_OS,,2036,,1.08217,1.08217,1.08217,1.08217,,,39.7697,9.95232,,,68.1766,16.4171,68.1766,,11.7764,,,,-60.6014,-14.5929,,17.0565,,29.2398,29.2398,,0.0004072464827525643,,0.00069813653500098,0.00069813653500098,
NDP,0,,INORG_RCY_OS,,2037,,1.13727,1.13727,1.13727,1.13727,,,41.7947,9.68435,,,71.6481,15.975,71.6481,,11.4594,,,,-63.6872,-14.2,,16.5973,,28.4524,28.4524,,0.0004155172085978858,,0.0007123156408191033,0.0007123156408191033,
NDP,0,,INORG_RCY_OS,,2038,,1.19364,1.19364,1.19364,1.19364,,,43.8662,9.41142,,,75.1992,15.5248,75.1992,,11.1364,,,,-66.8438,-13.7998,,16.1295,,27.6506,27.6506,,0.000423409494314722,,0.0007258448473966663,0.0007258448473966663,
NDP,0,,INORG_RCY_OS,,2039,,1.25127,1.25127,1.25127,1.25127,,,45.9841,9.135,,,78.8299,15.0688,78.8299,,10.8093,,,,-70.071,-13.3945,,15.6558,,26.8385,26.8385,,0.00043092435871778324,,0.0007387276059613427,0.0007387276059613427,
NDP,0,,INORG_RCY_OS,,2040,,1.31016,1.31016,1.31016,1.31016,,,48.1483,8.85643,,,82.54,14.6093,82.54,,10.4797,,,,-73.3689,-12.9861,,15.1784,,26.0201,26.0201,,0.0004380635176673762,,0.0007509665501848504,0.0007509665501848504,
NDP,0,,INORG_RCY_OS,,2041,,1.37031,1.37031,1.37031,1.37031,,,50.359,8.57691,,,86.3297,14.1482,86.3297,,10.1489,,,,-76.7375,-12.5762,,14.6993,,25.1988,25.1988,,0.0004448319790905601,,0.0007625689808235733,0.0007625689808235733,
NDP,0,,INORG_RCY_OS,,2042,,1.43173,1.43173,1.43173,1.43173,,,52.616,8.29751,,,90.1989,13.6873,90.1989,,9.81833,,,,-80.1768,-12.1665,,14.2205,,24.378,24.378,,0.0004512316019876107,,0.0007735402566618575,0.0007735402566618575,
NDP,0,,INORG_RCY_OS,,2043,,1.49441,1.49441,1.49441,1.49441,,,54.9194,8.01922,,,94.1476,13.2283,94.1476,,9.48903,,,,-83.6868,-11.7585,,13.7435,,23.5603,23.5603,,0.0004572673977533946,,0.0007838874433574928,0.0007838874433574928,
NDP,0,,INORG_RCY_OS,,2044,,1.55835,1.55835,1.55835,1.55835,,,57.2692,7.7429,,,98.1758,12.7725,98.1758,,9.16207,,,,-87.2674,-11.3533,,13.27,,22.7485,22.7485,,0.0004629438787351021,,0.0007936183087928876,0.0007936183087928876,
NDP,0,,INORG_RCY_OS,,2045,,1.62355,1.62355,1.62355,1.62355,,,59.6654,7.46933,,,102.284,12.3212,102.284,,8.83835,,,,-90.9188,-10.9522,,12.8011,,21.9448,21.9448,,0.0004682659308133056,,0.000802745183428053,0.000802745183428053,
NDP,0,,INORG_RCY_OS,,2046,,1.69001,1.69001,1.69001,1.69001,,,62.108,7.19917,,,106.471,11.8756,106.471,,8.51868,,,,-94.6408,-10.556,,12.3381,,21.1511,21.1511,,0.00047323877826889677,,0.0008112675655482018,0.0008112675655482018,
NDP,0,,INORG_RCY_OS,,2047,,1.75774,1.75774,1.75774,1.75774,,,64.597,6.93303,,,110.738,11.4365,110.738,,8.20376,,,,-98.4335,-10.1658,,11.882,,20.3692,20.3692,,0.00047786795065776316,,0.0008192043147505206,0.0008192043147505206,
NDP,0,,INORG_RCY_OS,,2048,,1.82673,1.82673,1.82673,1.82673,,,67.1323,6.67143,,,115.084,11.005,115.084,,7.89421,,,,-102.297,-9.78223,,11.4337,,19.6006,19.6006,,0.0004821585333765711,,0.0008265578962006263,0.0008265578962006263,
NDP,0,,INORG_RCY_OS,,2049,,1.89698,1.89698,1.89698,1.89698,,,69.7141,6.41481,,,119.51,10.5817,119.51,,7.59056,,,,-106.231,-9.40595,,10.9939,,18.8466,18.8466,,0.0004861180320758538,,0.0008333459947612505,0.0008333459947612505,
NDP,0,,INORG_RCY_OS,,2050,,1.9685,1.9685,1.9685,1.9685,,,72.3422,6.16356,,,124.015,10.1672,124.015,,7.29325,,,,-110.236,-9.03754,,10.5633,,18.1084,18.1084,,0.000489751295315234,,0.0008395722951267552,0.0008395722951267552,
NDP,0,,COMPOST,,2018,,0.133871,0.133871,0.133871,0.133871,,,4.91976,4.91976,,,8.43387,8.11549,8.43387,,5.50716,,,,-7.82342,-7.52809,,8.4316,,14.4542,14.4542,,8.054871844906728e-05,,0.0001380834471734465,0.0001380834471734465,
NDP,0,,COMPOST,,2019,,0.144152,0.144152,0.144152,0.144152,,,5.2976,4.90518,,,9.08159,8.09145,9.08159,,5.49085,,,,-8.42426,-7.50578,,8.4066,,14.4113,14.4113,,8.478484833220907e-05,,0.0001453452942399023,0.0001453452942399023,
NDP,0,,COMPOST,,2020,,0.154434,0.154434,0.154434,0.154434,,,5.67544,4.86577,,,9.72932,8.02644,9.72932,,5.44673,,,,-9.0251,-7.44548,,8.3391,,14.2956,14.2956,,9.471527264841131e-05,,0.0001623689434622939,0.0001623689434622939,
NDP,0,,COMPOST,,2021,,0.164715,0.164715,0.164715,0.164715,,,6.05328,4.80529,,,10.377,7.92667,10.377,,5.37903,,,,-9.62595,-7.35293,,8.2354,,14.1178,14.1178,,9.72289716765076e-05,,0.0001666774111039171,0.0001666774111039171,
NDP,0,,COMPOST,,2022,,0.174996,0.174996,0.174996,0.174996,,,6.43112,4.72706,,,11.0248,7.79763,11.0248,,5.29146,,,,-10.2268,-7.23323,,8.1014,,13.8881,13.8881,,9.961225837039311e-05,,0.0001707642255286653,0.0001707642255286653,
NDP,0,,COMPOST,,2023,,0.181646,0.181646,0.181646,0.181646,,,6.6755,4.54323,,,11.4437,7.49439,11.4437,,5.08568,,,,-10.6154,-6.95194,,7.7863,,13.3479,13.3479,,0.000100385907316867,,0.00017208991200090342,0.00017208991200090342,
NDP,0,,COMPOST,,2024,,0.188549,0.188549,0.188549,0.188549,,,6.92917,4.36655,,,11.8786,7.20294,11.8786,,4.88791,,,,-11.0188,-6.68159,,7.4835,,12.8289,12.8289,,0.0001011656182843386,,0.00017342710791513912,0.00017342710791513912,
NDP,0,,COMPOST,,2025,,0.195714,0.195714,0.195714,0.195714,,,7.19248,4.19674,,,12.33,6.92283,12.33,,4.69782,,,,-11.4375,-6.42175,,7.1925,,12.33,12.33,,0.00010195139248843188,,0.00017477430168486602,0.00017477430168486602,
NDP,0,,COMPOST,,2026,,0.203151,0.203151,0.203151,0.203151,,,7.46579,4.03353,,,12.7985,6.65361,12.7985,,4.51513,,,,-11.8721,-6.17201,,6.9128,,11.8505,11.8505,,0.00010274318961376515,,0.00017613122151463855,0.00017613122151463855,
NDP,0,,COMPOST,,2027,,0.493329,0.493329,0.493329,0.493329,,,18.1298,9.06943,,,31.0797,14.9607,31.0797,,10.1523,,,,-28.8301,-13.8778,,15.5434,,26.6458,26.6458,,0.00024223286328806687,,0.0004152569096809745,0.0004152569096809745,
NDP,0,,COMPOST,,2028,,0.763676,0.763676,0.763676,0.763676,,,28.0651,12.9996,,,48.1116,21.4437,48.1116,,14.5517,,,,-44.6292,-19.8916,,22.279,,38.1925,38.1925,,0.0003640570275739725,,0.0006240977615553815,0.0006240977615553815,
NDP,0,,COMPOST,,2029,,1.01419,1.01419,1.01419,1.01419,,,37.2715,15.9851,,,63.8941,26.3686,63.8941,,17.8937,,,,-59.2693,-24.46,,27.3957,,46.9641,46.9641,,0.0004693993366678823,,0.0008046858365504833,0.0008046858365504833,
NDP,0,,COMPOST,,2030,,1.24488,1.24488,1.24488,1.24488,,,45.7492,18.1676,,,78.4272,29.9688,78.4272,,20.3368,,,,-72.7505,-27.7996,,31.1361,,53.3762,53.3762,,0.0005593863692432237,,0.0009589480615598121,0.0009589480615598121,
NDP,0,,COMPOST,,2031,,1.29394,1.29394,1.29394,1.29394,,,47.5521,17.4848,,,81.5179,28.8425,81.5179,,19.5725,,,,-75.6176,-26.7548,,29.9659,,51.3701,51.3701,,0.0005644959777935466,,0.0009677075600904387,0.0009677075600904387,
NDP,0,,COMPOST,,2032,,1.34394,1.34394,1.34394,1.34394,,,49.3899,16.8153,,,84.6683,27.7381,84.6683,,18.823,,,,-78.54,-25.7304,,28.8185,,49.4031,49.4031,,0.0005692356260036229,,0.0009758313491860189,0.0009758313491860189,
NDP,0,,COMPOST,,2033,,1.39489,1.39489,1.39489,1.39489,,,51.2624,16.16,,,87.8784,26.6572,87.8784,,18.0895,,,,-81.5177,-24.7277,,27.6955,,47.478,47.478,,0.0005736085767947903,,0.0009833289887910689,0.0009833289887910689,
NDP,0,,COMPOST,,2034,,1.44679,1.44679,1.44679,1.44679,,,53.1697,15.5197,,,91.1481,25.6009,91.1481,,17.3727,,,,-84.5507,-23.7479,,26.5981,,45.5967,45.5967,,0.0005776219475840192,,0.0009902095185901545,0.0009902095185901545,
NDP,0,,COMPOST,,2035,,1.49964,1.49964,1.49964,1.49964,,,55.1118,14.895,,,94.4774,24.5704,94.4774,,16.6734,,,,-87.639,-22.792,,25.5274,,43.7613,43.7613,,0.0005812819636408536,,0.0009964836675935532,0.0009964836675935532,
NDP,0,,COMPOST,,2036,,1.55343,1.55343,1.55343,1.55343,,,57.0887,14.2864,,,97.8663,23.5664,97.8663,,15.9922,,,,-90.7827,-21.8607,,24.4844,,41.9732,41.9732,,0.000584595113363096,,0.0010021626126173262,0.0010021626126173262,
NDP,0,,COMPOST,,2037,,1.60817,1.60817,1.60817,1.60817,,,59.1004,13.6943,,,101.315,22.5897,101.315,,15.3293,,,,-93.9817,-20.9546,,23.4696,,40.2336,40.2336,,0.0005875681183264502,,0.0010072599154700187,0.0010072599154700187,
NDP,0,,COMPOST,,2038,,1.66386,1.66386,1.66386,1.66386,,,61.1469,13.1189,,,104.823,21.6407,104.823,,14.6853,,,,-97.236,-20.0743,,22.4836,,38.5432,38.5432,,0.0005902079051277037,,0.0010117824982002568,0.0010117824982002568,
