Strategy,Future.ID,Fuel,Technology,Emission,Year,Demand,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,TotalTechnologyAnnualActivity,ProductionByTechnology,UseByTechnology,CapitalInvestment,DiscountedCapitalInvestment,SalvageValue,DiscountedSalvageValue,OperatingCost,DiscountedOperatingCost,AnnualVariableOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,TotalDiscountedCost,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,AnnualTechnologyEmissionsPenalty,DiscountedTechnologyEmissionsPenalty,AnnualEmissions,Capex2025,FixedOpex2025,VarOpex2025,Opex2025,Externalities2025,Capex_GDP,FixedOpex_GDP,VarOpex_GDP,Opex_GDP,Externalities_GDP
BAU,0,,INORG_RCY_OS,,2018,,0.1339,0.1339,0.1339,0.1339,,,4.92083,4.92083,,,8.4357,8.11726,8.4357,,5.82274,,,,-7.4984,-7.21534,,8.4334,,14.4573,14.4573,,8.056623701272494e-05,,0.000138113408829,0.000138113408829,
BAU,0,,INORG_RCY_OS,,2019,,0.1442,0.1442,0.1442,0.1442,,,5.29935,4.90681,,,9.0846,8.09413,9.0846,,5.80615,,,,-8.0752,-7.19478,,8.4094,,14.4161,14.4161,,8.481285601202282e-05,,0.0001453934674491,0.0001453934674491,
BAU,0,,INORG_RCY_OS,,2020,,0.1544,0.1544,0.1544,0.1544,,,5.6742,4.86471,,,9.7272,8.02469,9.7272,,5.75634,,,,-8.6464,-7.13306,,8.3373,,14.2924,14.2924,,9.469457875717398e-05,,0.0001623335635837,0.0001623335635837,
BAU,0,,INORG_RCY_OS,,2021,,0.1647,0.1647,0.1647,0.1647,,,6.05273,4.80485,,,10.3761,7.92594,10.3761,,5.68551,,,,-9.2232,-7.04528,,8.2347,,14.1166,14.1166,,9.722013746853736e-05,,0.0001666629551272,0.0001666629551272,
BAU,0,,INORG_RCY_OS,,2022,,0.175,0.175,0.175,0.175,,,6.43125,4.72716,,,11.025,7.79779,11.025,,5.59358,,,,-9.8,-6.93137,,8.1015,,13.8883,13.8883,,9.961427195334416e-05,,0.0001707673233485,0.0001707673233485,
BAU,0,,INORG_RCY_OS,,2023,,0.1816,0.1816,0.1816,0.1816,,,6.6738,4.54208,,,11.4408,7.49248,11.4408,,5.37457,,,,-10.1696,-6.65998,,7.7843,,13.3445,13.3445,,0.0001003603427835,,0.0001720463019145,0.0001720463019145,
BAU,0,,INORG_RCY_OS,,2024,,0.1885,0.1885,0.1885,0.1885,,,6.92737,4.36542,,,11.8755,7.20108,11.8755,,5.16554,,,,-10.556,-6.40096,,7.4816,,12.8255,12.8255,,0.0001011393383528,,0.0001733818480331,0.0001733818480331,
BAU,0,,INORG_RCY_OS,,2025,,0.1957,0.1957,0.1957,0.1957,,,7.19197,4.19645,,,12.3291,6.92234,12.3291,,4.9656,,,,-10.9592,-6.1532,,7.192,,12.3291,12.3291,,0.000101944163381,,0.0001747615444365,0.0001747615444365,
BAU,0,,INORG_RCY_OS,,2026,,0.2032,0.2032,0.2032,0.2032,,,7.4676,4.03451,,,12.8016,6.65522,12.8016,,4.77398,,,,-11.3792,-5.91575,,6.9144,,11.8533,11.8533,,0.0001027680985883,,0.0001761738832942,0.0001761738832942,
BAU,0,,INORG_RCY_OS,,2027,,0.2109,0.2109,0.2109,0.2109,,,7.75057,3.87722,,,13.2867,6.39575,13.2867,,4.58786,,,,-11.8104,-5.68511,,6.6449,,11.3912,11.3912,,0.0001035556246188,,0.0001775240424411,0.0001775240424411,
BAU,0,,INORG_RCY_OS,,2028,,0.2189,0.2189,0.2189,0.2189,,,8.04457,3.72619,,,13.7907,6.14663,13.7907,,4.40915,,,,-12.2584,-5.46367,,6.386,,10.9475,10.9475,,0.0001043531732404,,0.000178891265314,0.000178891265314,
BAU,0,,INORG_RCY_OS,,2029,,0.2272,0.2272,0.2272,0.2272,,,8.3496,3.581,,,14.3136,5.90712,14.3136,,4.23735,,,,-12.7232,-5.25077,,6.1372,,10.5209,10.5209,,0.000105155325153,,0.0001802662716909,0.0001802662716909,
BAU,0,,INORG_RCY_OS,,2030,,0.2358,0.2358,0.2358,0.2358,,,8.66565,3.44125,,,14.8554,5.67659,14.8554,,4.07198,,,,-13.2048,-5.04586,,5.8977,,10.1103,10.1103,,0.0001059569673487,,0.000181640515455,0.000181640515455,
BAU,0,,INORG_RCY_OS,,2031,,0.2448,0.2448,0.2448,0.2448,,,8.9964,3.30796,,,15.4224,5.45671,15.4224,,3.91426,,,,-13.7088,-4.85041,,5.6693,,9.7187,9.7187,,0.0001067972101047,,0.0001830809316081,0.0001830809316081,
BAU,0,,INORG_RCY_OS,,2032,,0.2541,0.2541,0.2541,0.2541,,,9.33817,3.17928,,,16.0083,5.24446,16.0083,,3.762,,,,-14.2296,-4.66174,,5.4487,,9.3407,9.3407,,0.0001076256288366,,0.0001845011767943,0.0001845011767943,
BAU,0,,INORG_RCY_OS,,2033,,0.2638,0.2638,0.2638,0.2638,,,9.69465,3.05616,,,16.6194,5.04135,16.6194,,3.61631,,,,-14.7728,-4.4812,,5.2377,,8.9789,8.9789,,0.0001084797900415,,0.0001859653543568,0.0001859653543568,
BAU,0,,INORG_RCY_OS,,2034,,0.2738,0.2738,0.2738,0.2738,,,10.0621,2.93705,,,17.2494,4.84487,17.2494,,3.47536,,,,-15.3328,-4.30655,,5.0336,,8.629,8.629,,0.0001093120668122,,0.0001873930457131,0.0001873930457131,
BAU,0,,INORG_RCY_OS,,2035,,0.2842,0.2842,0.2842,0.2842,,,10.4444,2.82278,,,17.9046,4.65639,17.9046,,3.34016,,,,-15.9152,-4.13901,,4.8378,,8.2933,8.2933,,0.0001101604618439,,0.0001888456019619,0.0001888456019619,
